classifier,dataset,acc_mean,acc_std,train_time_in_sec_mean,train_time_in_sec_std,test_time_in_sec_mean,test_time_in_sec_std
SASTE-RF,SmoothSubspace,0.8786666666666667,0.02207059380966245,3.44862756729126,2.0115029449452257,0.888533639907837,0.9781720421954699
SASTE-Ridge,SmoothSubspace,0.9346666666666668,0.012220201853215545,2.4962650299072267,1.902190390864555,0.3597598075866699,0.0023118513403448987
SASTE-RF,ItalyPowerDemand,0.9418853255587949,0.015626628759760373,0.6770556926727295,0.028599299132876666,7.231885147094727,0.03906398092511364
SASTE-Ridge,ItalyPowerDemand,0.9636540330417882,0.00396425229433842,0.26325287818908694,0.01040250077498982,7.167177486419678,0.013437800965005431
SASTE-RF,Chinatown,0.9760932944606415,0.0011661807580174875,0.37323708534240724,0.011938650615707239,2.4546751976013184,0.016007060982070425
SASTE-Ridge,Chinatown,0.9673469387755101,0.006225701604682983,0.1388402462005615,0.01354693787016404,2.4263766765594483,0.006607685969634392
SASTE-RF,MelbournePedestrian,0.6751947519475194,0.02475066762432273,123.2014142036438,3.9874755327581495,84.41643214225769,0.14083428633762413
SASTE-Ridge,MelbournePedestrian,0.8758507585075851,0.002113013321316136,16.98453402519226,0.06306100533975811,84.41580200195312,0.129325277965052
SASTE-RF,Crop,0.041666666666666664,0.0,3232.2162424087524,17.197768463051126,10473.119723653794,3.3882398210566635
SASTE-Ridge,Crop,0.750702380952381,0.0016892181771123148,1869.202433681488,3.6968550759182603,10474.753791379928,1.2082735625710457
SASTE-RF,SyntheticControl,0.9799999999999999,0.00557773351022718,104.30742750167846,0.37348225741490887,105.68441805839538,0.07210985699723241
SASTE-Ridge,SyntheticControl,0.9860000000000001,0.004898979485566349,49.00120687484741,0.39993068815881744,105.73617372512817,0.13643510486310856
SASTE-RF,SonyAIBORobotSurface2,0.8967471143756558,0.014056161216906908,4.569283056259155,2.1860316711720142,142.94149684906006,0.10760700052405794
SASTE-Ridge,SonyAIBORobotSurface2,0.8585519412381952,0.028701483311275994,4.126682281494141,2.366129264846827,142.98612089157103,0.05341753272533767
SASTE-RF,SonyAIBORobotSurface1,0.9211314475873543,0.015487622333737263,4.481919479370117,2.1386593199724726,112.99255123138428,0.20099954509825965
SASTE-Ridge,SonyAIBORobotSurface1,0.7520798668885191,0.029049121920526024,3.130372428894043,1.797282069207796,113.1917372226715,0.18899194383443288
SASTE-RF,DistalPhalanxOutlineAgeGroup,0.7381294964028776,0.009758748177158638,128.45194177627565,1.0508988037543716,59.01184396743774,0.053344508298701465
SASTE-Ridge,DistalPhalanxOutlineAgeGroup,0.776978417266187,0.012038273763080204,81.56101870536804,0.12295264053414871,59.02216286659241,0.09100849614684607
SASTE-RF,DistalPhalanxOutlineCorrect,0.7115942028985507,0.015809727702370584,131.3353190422058,2.9228953915809273,78.07371554374694,0.0630123967058515
SASTE-Ridge,DistalPhalanxOutlineCorrect,0.7362318840579711,0.011084825029549534,81.36690230369568,0.4275000180466322,78.08300833702087,0.0722062858147347
SASTE-RF,DistalPhalanxTW,0.6820143884892087,0.002877697841726601,257.0672733783722,3.3847286424386085,117.82577996253967,0.06334322951205996
SASTE-Ridge,DistalPhalanxTW,0.6935251798561152,0.010767359386399798,164.21164803504945,1.2863540647487344,117.74846639633179,0.11790155380113948
SASTE-RF,MiddlePhalanxOutlineAgeGroup,0.5909090909090908,0.024296476537493117,126.847531747818,1.4455012302313495,65.37220959663391,0.08178704186957046
SASTE-Ridge,MiddlePhalanxOutlineAgeGroup,0.5402597402597402,0.009543466530324072,83.10290250778198,1.702290483912888,65.3365867614746,0.12340860975803072
SASTE-RF,MiddlePhalanxOutlineCorrect,0.60893470790378,0.006663477467238958,131.0990267276764,3.3277353658383597,82.3413106918335,0.13394973383095854
SASTE-Ridge,MiddlePhalanxOutlineCorrect,0.8536082474226804,0.011209282769965695,82.70319314002991,2.0078272487733253,82.29736032485962,0.1103509938406562
SASTE-RF,MiddlePhalanxTW,0.5584415584415584,0.0,246.4091586589813,3.0626496660303517,130.60666718482972,0.2479739019573343
SASTE-Ridge,MiddlePhalanxTW,0.5467532467532468,0.012591376253029432,161.8651071071625,0.3205460989994618,130.68366494178773,0.1801530644070614
SASTE-RF,PhalangesOutlinesCorrect,0.6724941724941724,0.015303167890135081,373.8147356033325,9.899435082820355,242.69420232772828,0.12380673033921209
SASTE-Ridge,PhalangesOutlinesCorrect,0.7988344988344988,0.0020321207195994097,246.34895038604736,0.4356546303711038,242.53758444786072,0.17302024855481804
SASTE-RF,ProximalPhalanxOutlineAgeGroup,0.8302439024390245,0.003650397450511166,129.98586568832397,1.7678037871986223,87.07046971321105,0.08212480492913302
SASTE-Ridge,ProximalPhalanxOutlineAgeGroup,0.8546341463414635,0.003650397450511166,81.34877490997314,1.111362432610119,87.0060519695282,0.11211657508715267
SASTE-RF,ProximalPhalanxOutlineCorrect,0.8474226804123711,0.00986439869031431,132.16916222572326,3.1775670897214856,82.39851040840149,0.10033557134635583
SASTE-Ridge,ProximalPhalanxOutlineCorrect,0.8749140893470791,0.00514317166566863,82.85949578285218,1.1275030334372287,82.4128740787506,0.07396430793092355
SASTE-RF,ProximalPhalanxTW,0.8087804878048781,0.00365039745051113,278.05929470062256,1.8329809884052664,173.98752536773682,0.06933438372477246
SASTE-Ridge,ProximalPhalanxTW,0.7931707317073171,0.010044517210719034,163.20289974212648,1.5508034461643516,173.83803887367247,0.17820394171784326
SASTE-RF,TwoLeadECG,0.991747146619842,0.005429192215536537,8.619612789154052,1.8446802968892824,346.9960502147675,0.38167201506909204
SASTE-Ridge,TwoLeadECG,0.9901668129938542,0.0037414004833472283,8.561986923217773,0.2883071307969725,346.93737893104554,0.3431040094050178
SASTE-RF,MoteStrain,0.9453674121405751,0.0096192135573959,9.044156694412232,0.3138895905505417,410.38052263259885,0.5245538132840725
SASTE-Ridge,MoteStrain,0.8562300319488818,0.019182636488534296,8.48783221244812,0.264659882770058,410.29296374320984,0.2837950874199927
SASTE-RF,ECG200,0.8240000000000001,0.008000000000000007,35.65633640289307,1.5551232169614109,49.347936916351316,0.10399161238168962
SASTE-Ridge,ECG200,0.874,0.008000000000000007,26.326173257827758,1.4912282444918017,49.37576861381531,0.06771143850633914
SASTE-RF,ElectricDevices,0.5204513033329011,0.00473404828535054,10776.90519785881,181.23369297197024,13278.615146398544,4.312681103039907
SASTE-Ridge,ElectricDevices,0.6432888081960836,0.005418655198106496,7679.274305725097,614.582018453644,13276.75649175644,4.277635416325936
SASTE-RF,MedicalImages,0.5326315789473685,0.005545080922554049,802.6923626422882,5.65396982829339,2053.5871950149535,0.9544243483251836
SASTE-Ridge,MedicalImages,0.7128947368421052,0.006137844099837165,487.78898882865906,0.9490518252282606,2054.4295278549193,1.95284253380356
SASTE-RF,CBF,0.9777777777777779,0.008692269873603527,38.752497053146364,0.11068035670608808,1595.4623281478882,0.889073667733943
SASTE-Ridge,CBF,0.9813333333333334,0.011619481299912337,33.81973042488098,0.15321747681460746,1595.1689861297607,0.9733944835169793
SASTE-RF,SwedishLeaf,0.86912,0.0063518186372093395,4726.157878923416,31.540024943943017,5537.422897386551,2.656121085145262
SASTE-Ridge,SwedishLeaf,0.8953599999999999,0.007198222002689284,2267.0016250133513,34.02492001666368,5537.806356859207,1.71536307820773
SASTE-Ridge,TwoPatterns,0.99495,0.0006595452979136508,1085.3062172889709,2.0440384782206964,34796.61263995171,59.5251167458341
SASTE-Ridge,BME,0.8813333333333333,0.01707499796648758,31.12297658920288,0.7972201486650011,986.3178385734558,6.518819509733473
